,moving rule1 count,moving rule1 motions,moving rule2 count,moving rule2 motions,moving rule3 count,moving rule3 motions
0,56,731,54,729,56,731
1,13,534,15,496,15,460
2,63,667,63,687,63,657
3,7,222,5,124,5,36
4,22,380,22,380,24,390
5,16,253,25,516,25,380
6,78,306,78,312,78,298
7,39,459,39,475,32,388
8,22,465,22,439,22,415
9,36,359,33,354,38,361
10,43,508,47,512,47,468
11,63,867,63,879,63,765
12,18,414,18,416,18,362
13,19,458,19,360,19,322
14,33,849,33,849,33,771
15,61,690,61,700,60,673
16,32,452,32,346,32,356
17,40,761,40,755,40,719
18,42,630,43,631,39,625
19,36,475,36,473,36,439
20,75,850,75,794,75,814
21,69,552,73,564,69,416
22,41,169,44,140,44,136
23,52,728,32,686,36,694
24,106,1134,105,1117,103,1089
25,44,639,44,647,44,639
26,31,504,34,513,31,442
27,44,810,43,755,45,645
28,51,967,51,953,51,877
29,75,1187,75,1165,77,1161
30,104,917,102,905,104,913
31,56,729,59,730,56,731
32,53,448,56,415,56,409
33,47,711,47,709,49,707
34,30,448,30,508,30,448
35,114,1183,94,1153,117,1190
36,36,476,36,468,36,442
37,63,1120,64,1121,28,659
38,21,284,47,470,47,464
39,54,460,54,436,103,509
40,41,471,43,475,81,559
41,50,428,49,421,52,424
42,53,549,53,541,53,541
43,60,520,63,541,63,527
44,1,20,1,20,1,20
45,34,553,36,503,35,388
46,15,266,12,183,12,159
47,29,537,29,427,29,427
48,8,124,10,322,8,168
49,53,1074,54,1077,44,949
50,31,672,31,642,31,484
51,12,262,14,292,12,280
52,28,614,28,614,28,582
53,33,519,33,511,33,519
54,76,719,76,803,73,698
55,42,448,40,388,46,408
56,59,1128,59,1152,59,974
57,51,671,51,615,51,603
58,62,961,63,972,67,944
59,29,313,28,314,29,313
60,6,136,4,100,4,44
61,17,278,17,298,17,266
62,97,1835,98,1650,98,1124
63,3,58,3,72,3,58
64,49,767,47,763,47,763
65,31,324,31,358,31,308
66,24,306,24,350,24,308
67,68,455,54,349,66,363
68,25,680,25,678,25,680
69,33,612,33,608,37,724
70,29,579,29,579,29,579
71,32,487,32,489,32,489
72,25,455,26,466,28,344
73,42,277,43,278,43,278
74,60,330,57,367,57,309
75,55,636,54,607,55,510
76,51,608,15,402,13,300
77,75,933,75,955,75,811
78,18,431,30,393,18,377
79,19,398,17,336,17,336
80,33,470,33,506,26,455
81,22,383,5,124,22,383
82,26,410,32,410,32,354
83,8,241,8,257,14,271
84,28,789,28,789,29,770
85,78,731,79,728,78,733
86,49,722,50,705,49,508
87,84,861,83,822,83,766
88,28,406,28,408,28,408
89,72,1637,73,1650,72,1639
90,31,435,31,565,31,409
91,80,996,74,1152,74,954
92,22,193,23,222,21,192
93,29,416,29,416,35,424
94,35,669,35,571,35,507
95,83,859,86,906,86,904
96,5,158,5,156,6,119
97,40,862,40,852,40,876
98,22,445,21,414,19,348
99,60,376,60,370,60,274
100,34,467,43,504,33,422
101,98,1241,107,1244,98,1027
102,67,1021,67,1019,67,877
103,59,919,59,923,59,919
104,39,283,39,283,39,285
105,37,563,37,577,36,494
106,88,1349,85,1358,81,1236
107,50,550,38,578,38,430
108,7,261,7,261,7,217
109,124,1079,124,1083,124,1081
110,32,680,30,690,30,668
111,71,398,70,423,67,364
112,37,565,36,572,36,454
113,69,631,69,631,71,591
114,19,405,19,335,74,736
115,54,562,54,562,56,540
116,72,834,71,903,72,800
117,54,390,63,389,56,390
118,33,623,16,536,33,573
119,47,707,47,641,47,579
120,12,297,17,390,16,385
121,84,1005,84,1059,83,810
122,47,1117,47,1163,44,1092
123,46,613,45,610,44,529
124,47,712,47,674,47,670
125,56,629,56,629,56,623
126,77,754,77,752,77,616
127,30,666,36,682,37,675
128,88,821,88,871,87,778
129,23,799,23,799,23,799
130,33,330,33,376,34,333
131,39,288,39,288,40,277
132,24,394,24,394,26,396
133,80,1094,74,954,82,970
134,66,965,44,1013,66,963
135,29,765,27,711,27,719
136,44,461,65,610,45,460
137,65,913,64,912,64,910
138,62,751,68,749,59,664
139,57,1108,57,1076,57,1030
140,23,353,23,367,23,329
141,18,435,29,480,18,359
142,68,676,66,702,66,678
143,33,756,34,733,37,734
144,12,300,12,300,13,301
145,71,720,75,714,71,572
146,91,739,95,747,91,739
147,50,988,50,902,47,757
148,37,380,37,380,43,384
149,45,1010,45,1006,47,1008
150,57,486,57,486,57,484
151,77,548,77,548,77,546
152,13,255,16,270,15,195
153,43,712,43,708,43,706
154,50,869,50,779,50,727
155,62,1339,62,1189,62,881
156,14,260,13,239,13,239
157,96,658,93,647,93,639
158,54,759,60,877,60,363
159,32,597,40,663,32,597
160,79,601,77,713,80,534
161,41,690,34,683,37,686
162,32,357,32,419,31,356
163,26,630,28,668,26,450
164,1,32,56,335,1,32
165,71,506,71,482,71,438
166,45,397,45,381,46,388
167,54,1109,54,1105,54,1105
168,46,537,46,477,46,439
169,2,66,2,68,46,650
170,56,735,56,735,56,735
171,70,662,65,651,66,582
172,9,364,9,240,9,88
173,48,584,48,590,49,567
174,101,757,65,625,65,625
175,34,492,34,494,34,510
176,12,197,12,251,12,181
177,36,710,36,716,36,710
178,75,889,74,850,78,830
179,15,250,16,281,15,272
180,32,519,44,635,45,630
181,15,352,14,313,14,247
182,28,279,32,285,28,279
183,86,1335,86,1337,90,1333
184,39,469,39,467,39,467
185,67,732,67,736,67,730
186,20,507,20,501,20,451
187,53,494,53,498,53,492
188,36,515,40,495,36,443
189,7,266,7,302,7,150
190,102,533,102,601,106,523
191,39,456,38,441,38,379
192,35,682,35,592,35,536
193,40,594,41,593,35,449
194,75,1157,75,1153,75,1129
195,43,398,44,463,43,374
196,4,105,4,139,4,105
197,23,390,25,392,19,360
198,54,605,40,603,38,589
199,46,454,46,520,46,452
200,33,700,33,660,33,658
201,25,572,27,662,30,763
202,16,466,23,521,16,336
203,103,851,103,851,103,835
204,31,371,31,371,31,369
205,3,108,3,58,3,108
206,76,929,76,943,76,867
207,9,205,9,205,10,206
208,19,373,19,403,19,373
209,37,419,31,387,33,375
210,16,430,28,572,18,340
211,45,608,38,579,41,586
212,47,646,47,646,48,643
213,37,522,34,517,37,522
214,42,423,42,475,42,407
215,57,921,58,922,59,923
216,41,398,39,396,44,409
217,63,782,68,789,63,784
218,45,975,45,975,45,941
219,31,790,31,798,31,740
220,191,931,191,929,191,921
221,28,519,28,479,28,479
222,64,1162,67,1137,64,1062
223,32,530,32,530,32,508
224,69,1116,69,1116,70,1115
225,53,394,109,718,48,187
226,80,1060,74,1050,74,1052
227,19,276,19,278,19,276
228,58,390,58,492,58,380
229,46,759,46,831,46,667
230,79,800,79,806,78,797
231,24,349,24,411,24,331
232,66,1062,31,561,7,217
233,76,1228,76,1092,69,1031
234,61,508,61,508,61,506
235,37,584,37,608,37,592
236,2,109,4,177,2,113
237,47,843,41,793,47,843
238,12,244,12,280,12,234
239,28,431,28,385,28,405
240,77,796,70,863,77,754
241,27,458,27,458,27,456
242,28,334,27,333,28,334
243,23,331,20,326,20,328
244,5,188,21,540,18,311
245,48,417,44,385,44,379
246,49,469,35,449,35,415
247,94,1111,94,1117,94,1057
248,43,412,41,408,76,543
249,35,525,32,518,32,518
250,89,881,84,866,92,862
251,18,300,15,229,18,246
252,19,226,19,172,19,96
253,16,194,14,188,16,152
254,30,748,31,705,31,587
255,50,456,50,506,50,304
256,117,813,119,761,119,757
257,94,733,94,729,94,719
258,11,214,24,513,11,214
259,59,801,57,789,57,701
260,36,771,36,787,35,722
261,119,1580,117,1538,114,1507
262,46,630,46,628,46,630
263,53,593,53,577,53,577
264,57,744,57,840,57,670
265,27,625,25,661,38,752
266,27,372,27,412,27,366
267,45,583,2,84,45,541
268,54,815,54,803,39,786
269,67,843,67,895,67,837
270,63,1293,63,1171,63,875
271,35,505,35,491,30,442
272,81,533,76,532,84,546
273,62,681,64,683,62,677
274,66,430,65,511,66,364
275,36,603,33,610,35,564
276,35,972,35,1182,33,912
277,41,417,44,428,43,421
278,27,515,29,509,27,515
279,24,345,27,538,24,205
280,135,680,130,777,132,577
281,41,751,44,672,41,603
282,34,361,35,358,48,367
283,6,180,6,182,6,128
284,36,808,36,764,36,808
285,17,575,17,561,17,419
286,11,305,11,305,11,305
287,44,1431,44,1573,44,1515
288,53,255,53,283,53,255
289,21,558,21,550,20,527
290,52,611,52,613,52,605
291,94,630,94,652,94,604
292,29,388,28,367,29,334
293,18,507,18,469,18,359
294,34,466,34,462,36,380
295,33,696,36,783,33,678
296,37,636,52,753,37,600
297,80,659,82,659,80,655
298,21,442,21,506,21,376
299,43,610,32,551,30,585
300,54,282,53,277,12,224
301,16,379,19,512,19,470
302,46,348,46,348,44,346
303,40,496,41,525,41,455
304,146,1034,145,1019,141,1013
305,25,392,25,390,25,384
306,97,1104,97,1110,97,1116
307,39,746,39,746,44,753
308,79,944,78,927,5,166
309,40,623,40,549,40,457
310,50,1292,50,1356,50,1264
311,35,816,35,814,35,812
312,69,1112,69,1162,69,1116
313,8,321,8,197,8,193
314,3,123,3,123,67,767
315,59,1400,61,1344,62,1233
316,60,528,60,488,60,456
317,37,383,37,381,37,381
318,28,285,31,314,28,187
319,40,421,41,434,40,419
320,49,639,47,589,47,545
321,73,1234,73,1258,73,1056
322,63,550,74,529,64,413
323,27,701,40,830,40,826
324,72,298,73,301,68,278
325,4,123,4,151,4,123
326,73,571,73,555,48,446
327,70,1467,88,1497,70,1415
328,123,896,123,910,123,888
329,62,460,62,438,63,435
330,10,403,8,293,10,403
331,6,168,73,525,72,518
332,28,461,36,437,36,411
333,7,148,7,170,7,136
334,76,764,76,762,76,762
335,26,414,27,395,26,414
336,40,783,168,837,74,663
337,21,427,21,377,21,389
338,34,706,27,553,27,553
339,27,630,27,628,27,536
340,102,1258,102,1262,102,1206
341,50,934,50,956,50,840
342,51,1268,48,1175,48,1007
343,72,1645,70,1559,70,1387
344,51,479,41,431,41,409
345,27,244,27,246,27,246
346,60,487,60,461,60,455
347,108,771,108,835,108,761
348,17,622,24,711,18,553
349,52,1018,52,1056,52,1012
350,52,557,52,591,52,555
351,33,419,63,497,63,503
352,27,548,25,584,24,397
353,102,1088,104,1094,102,1088
354,94,628,84,580,94,574
355,20,457,18,419,20,437
356,49,551,61,675,49,551
357,12,380,12,380,12,380
358,54,1234,50,1062,125,1089
359,52,432,53,429,61,383
360,43,737,43,757,43,699
361,51,516,51,566,72,607
362,33,460,34,463,33,462
363,75,638,73,710,73,630
364,5,60,5,168,5,60
365,53,761,53,735,53,673
366,36,889,34,853,34,841
367,27,351,27,351,27,351
368,97,2153,97,2179,99,2099
369,34,742,34,694,42,762
370,85,766,85,736,17,268
371,70,733,69,694,69,638
372,42,612,41,595,42,518
373,38,455,39,454,39,406
374,70,1170,71,1123,75,955
375,50,911,51,990,50,823
376,89,800,77,682,89,796
377,45,1186,77,1460,45,1064
378,37,404,37,408,35,396
379,52,1030,52,1016,52,832
380,52,512,19,341,19,341
381,24,502,26,504,24,464
382,14,218,14,150,14,150
383,84,1151,53,752,53,736
384,65,267,65,249,65,249
385,57,834,57,832,57,856
386,39,701,40,636,39,633
387,24,268,23,233,24,234
388,18,299,18,299,18,257
389,12,289,48,835,9,238
390,91,611,85,569,91,563
391,22,561,22,571,22,529
392,60,693,72,633,60,495
393,90,2067,97,2162,89,2066
394,2,65,2,55,2,61
395,32,279,2,69,2,57
396,30,689,30,967,30,549
397,43,536,43,436,44,373
398,28,250,23,227,25,157
399,53,495,53,493,53,491
400,49,628,49,636,49,622
401,64,848,65,829,64,848
402,32,1093,31,1092,31,1092
403,4,43,4,121,2,41
404,29,207,32,214,29,209
405,35,488,35,480,35,484
406,47,798,40,569,40,557
407,49,654,45,580,48,513
408,66,746,68,784,62,538
409,102,988,102,990,102,970
410,22,331,21,326,2,47
411,84,1094,84,1080,84,1038
412,46,533,37,524,37,524
413,88,1213,89,1224,87,1174
414,17,401,18,470,17,393
415,85,832,86,833,86,781
416,31,417,28,400,31,373
417,59,680,59,698,59,668
418,64,717,64,747,64,649
419,7,195,7,195,8,196
420,22,260,22,232,22,230
421,24,369,24,369,25,366
422,77,715,78,638,77,627
423,38,504,39,557,38,558
424,29,917,29,931,29,837
425,54,577,54,605,54,431
426,40,816,40,812,40,812
427,27,328,28,321,27,250
428,40,805,40,803,42,807
429,20,399,19,450,19,266
430,6,197,6,197,49,1512
431,60,925,60,931,64,937
432,77,1062,79,1020,78,771
433,34,452,37,447,34,342
434,51,551,11,385,11,229
435,49,473,47,513,47,329
436,45,638,45,692,45,638
437,74,879,85,970,74,887
438,50,540,118,672,118,664
439,63,721,62,696,62,666
440,20,341,20,325,20,287
441,89,955,75,691,78,684
442,67,394,67,394,69,396
443,77,830,62,689,65,690
444,24,499,34,511,23,498
445,38,349,38,347,38,347
446,38,477,38,455,43,448
447,66,816,68,822,64,772
448,92,1555,94,1559,97,1488
449,56,1197,70,1215,71,1214
450,38,477,41,622,42,509
451,76,332,66,306,64,302
452,60,800,60,802,60,794
453,64,594,64,538,64,482
454,155,729,155,763,155,713
455,61,821,65,831,61,745
456,78,754,56,684,46,452
457,41,533,41,535,41,533
458,7,232,7,254,45,1136
459,61,679,61,745,61,677
460,16,343,16,429,20,439
461,44,887,50,895,44,731
462,55,994,50,987,48,987
463,41,449,41,443,37,359
464,90,909,78,875,81,802
