,moving rule1 count,moving rule1 motions,moving rule2 count,moving rule2 motions,moving rule3 count,moving rule3 motions
0,34,745,8,266,50,1390
1,79,2262,28,858,7,203
2,41,1228,50,1464,57,1005
3,52,1520,25,663,37,1252
4,22,558,37,921,31,702
5,13,529,45,1029,15,394
6,50,1366,55,1469,37,922
7,41,1249,30,1006,25,787
8,50,1378,23,665,10,291
9,28,767,35,1113,24,569
10,65,1285,42,1170,24,692
11,24,815,35,1195,30,793
12,33,937,18,568,11,151
13,49,1211,40,1210,15,413
14,51,1409,16,500,56,1304
15,21,660,26,634,41,1031
16,5,173,9,295,27,920
17,66,1859,81,2253,25,578
18,30,962,13,471,40,1103
19,18,387,41,749,32,807
20,46,1307,24,624,43,1387
21,19,534,27,693,49,1036
22,14,433,52,1022,27,677
23,27,719,11,357,70,1583
24,20,506,65,1567,29,628
25,26,890,21,717,32,819
26,22,603,77,1723,52,1386
27,59,1792,10,340,44,954
28,32,869,25,609,20,515
29,69,1625,45,779,19,580
30,14,493,63,1169,26,721
31,41,839,49,1501,69,2280
32,65,1491,27,625,35,814
33,38,1024,35,665,24,835
34,56,1441,47,1249,26,793
35,33,1127,51,1347,80,2319
36,71,1660,35,989,36,1271
37,63,1821,35,829,30,755
38,36,724,33,1013,25,662
39,100,2470,33,925,57,1191
40,33,1051,25,937,14,401
41,41,1124,31,689,30,879
42,28,696,21,475,19,586
43,43,1189,20,608,33,965
44,43,1157,35,967,27,738
45,37,816,52,1062,41,1133
46,32,1059,34,900,31,803
47,16,581,42,1090,13,229
48,41,1208,29,867,27,820
49,17,298,33,987,24,661
50,58,1387,20,574,57,1305
51,65,1514,18,378,33,611
52,40,1041,49,1327,68,1819
53,56,1408,24,646,29,957
54,38,1042,55,1449,36,1163
55,11,403,36,1002,26,760
56,29,725,24,804,47,1178
57,25,605,57,1599,27,672
58,9,331,36,994,44,970
59,41,945,62,1692,59,1173
60,36,997,48,1466,29,749
61,41,616,86,2290,34,916
62,28,780,52,1028,37,975
63,44,902,31,883,37,888
64,47,1209,40,1214,27,739
65,63,1326,37,773,54,1429
66,20,542,38,1398,24,756
67,61,1892,5,101,59,1892
68,29,725,13,365,24,443
69,24,652,32,860,10,190
70,21,830,50,1394,19,483
71,33,872,25,545,50,1179
72,43,1487,69,1939,81,1918
73,61,1838,30,566,42,1112
74,7,196,31,797,22,457
75,32,825,33,809,38,1083
76,33,1192,15,511,41,1058
77,15,418,26,668,37,955
78,41,1451,22,706,14,386
79,27,544,24,704,30,880
80,51,1754,17,487,24,843
81,30,884,12,368,15,363
82,20,651,34,906,66,1526
83,36,862,36,910,39,1137
84,37,1346,27,595,19,472
85,37,1006,60,2056,50,1080
86,33,1237,21,543,62,1739
87,15,370,55,1563,14,293
88,19,557,14,522,39,997
89,53,1305,44,1582,25,731
90,42,988,40,840,36,938
91,85,2582,23,583,30,969
92,47,1223,59,1407,25,758
93,12,464,17,595,37,864
94,13,390,26,704,28,590
95,9,305,114,3444,34,978
96,33,846,19,535,57,1516
97,83,2775,21,695,26,701
98,54,1586,19,467,13,376
99,61,1542,152,4474,49,1833
