,rule1 count,rule1 motions,rule2 count,rule2 motions,rule3 count,rule3 motions
0,702,23089,711,23970,580,1352
1,6883,228515,12852,432530,9740,52179
2,1706,55312,4428,145952,1697,3688
3,1244,42088,1691,56846,14787,93613
4,10918,364417,540,18691,1098,2335
5,2346,77514,201,6860,360,828
6,3560,120964,3101,103804,5594,23442
7,1637,53958,951,30910,10957,54986
8,3876,129108,8339,278862,2215,4862
9,5628,187164,2413,80613,26012,212093
10,667,21945,544,17991,1003,2123
11,18774,634748,51,1847,137,250
12,9767,328683,12737,427183,1375,3002
13,393,12827,781,25730,891,1987
14,429,14122,189,6221,151,337
15,10669,356105,930,30954,1138,2573
16,961,32508,1130,38251,20026,117142
17,444,15001,202,6523,250,561
18,630,20739,327,10491,354,809
19,6716,224353,4165,139418,1949,4086
20,2193,71298,201,6934,354,797
21,1998,67310,6227,206893,4517,15450
22,3106,105924,2838,94167,20220,124860
23,6802,225741,9579,316298,4733,16525
24,2,27,464,15071,39,64
25,19559,653562,902,29612,1031,2271
26,721,23231,1166,38909,985,2167
27,4198,138798,4003,133561,6702,33530
28,186,5867,4577,151181,27132,185934
29,1365,45052,10534,355259,923,1994
30,2346,79620,6476,213989,4342,15576
31,19046,633938,10573,351184,10531,51544
32,6864,228543,6571,218685,12346,67121
33,144,4571,11970,399860,9218,47003
34,8740,290921,2905,96572,16107,102216
35,19766,661252,967,32279,615,1491
36,309,10097,3114,101770,2992,8057
37,23205,779080,9326,311836,9628,49548
38,2370,79710,1131,36997,20264,149389
39,1517,49938,479,15170,163,326
40,826,25568,4417,146723,4281,15167
41,13399,450354,8383,276718,13260,77406
42,1636,54128,480,16209,82,161
43,11006,364597,553,19012,887,1949
44,10583,353148,10848,361169,876,1848
45,1754,57707,117,3378,377,834
46,90,2651,1294,42458,12675,74261
47,2341,79104,938,31774,10749,59327
48,9315,313499,9520,319496,21534,153539
49,4017,134958,1924,64897,12231,76430
50,1489,49941,835,28027,1156,2456
51,9256,306959,9384,312484,6732,30040
52,165,5763,1079,35870,713,1636
53,14459,482660,1359,46241,14599,89743
54,18470,611738,18166,602361,273,652
55,2407,82261,917,29998,10376,54705
56,1320,43720,259,8679,116,216
57,12909,430769,6898,230952,9424,51608
58,14368,481156,1285,43029,1898,4025
59,10800,359752,804,27458,10280,60890
60,1385,46601,100,3065,122,229
61,876,28740,41,1257,284,597
62,8706,292747,1628,53847,1477,3265
63,2466,82007,434,14622,201,444
64,392,12765,135,4964,392,899
65,4322,144635,9643,319395,4312,15310
66,15213,506280,7061,235951,7501,38488
67,6225,207334,27096,905853,5841,26680
68,15083,499466,2932,96891,9615,54574
69,29701,995442,4902,162858,8516,45908
70,10664,360672,927,30030,1092,2342
71,7119,234153,4865,160298,2937,7676
72,981,32829,11306,377503,626,1449
73,1540,50828,10951,368622,1065,2351
74,23159,770065,1263,41743,11835,74394
75,80,2396,1169,39070,558,1374
76,2774,92280,3725,125885,7578,40466
77,4079,135729,6547,217968,23630,190839
78,104,3354,1896,62433,6607,30699
79,9953,332957,3988,134099,3033,8179
80,11926,398320,21142,709116,9309,46188
81,7103,239647,24718,822138,1245,2909
82,601,19720,6465,216602,12210,69725
83,12126,404075,4670,156683,1540,3366
84,7614,253705,10266,340384,2591,6162
85,76,2416,498,17286,372,771
86,2886,95316,2854,95511,3473,10679
87,26551,892725,5370,180786,5378,20607
88,1849,60911,80,2508,183,356
89,1455,47955,314,9882,321,636
90,6245,205619,1972,65123,23214,141320
91,3942,131993,4628,153938,11996,66901
92,17042,572943,11795,394662,15168,84597
93,2934,98050,11568,385653,8534,44073
94,1180,39374,506,17285,444,1030
95,720,24359,170,5608,362,708
96,8908,294044,11174,370986,2664,6330
97,137,4686,10855,356981,1029,2249
98,266,8937,1280,42961,4142,14188
99,4308,143823,4220,140694,1431,3124
100,1345,44713,533,17544,10593,57141
101,553,18409,489,16852,345,789
102,9749,323194,1491,48696,9323,51928
103,2468,81271,934,30905,910,1981
104,2477,83032,241,8285,18604,114557
105,2248,76017,391,12417,298,595
106,32,1221,35,1166,434,926
107,226,7171,852,28343,774,1712
108,514,17066,858,28613,1271,2804
109,21594,714909,6948,227943,1292,2897
110,4836,161229,13887,467061,12633,79853
111,652,20862,187,6452,45,79
112,6891,230205,6307,210541,1969,4213
113,15834,531794,8476,283144,2705,6494
114,4636,151918,4475,146678,1525,3233
115,9882,330667,1212,39733,1243,2665
116,13051,435413,1880,61945,24269,194676
117,2254,74788,15176,502213,5314,23466
118,6718,227902,17980,605380,1794,3799
119,954,32523,137,4409,242,567
120,465,15458,949,31370,1067,2279
121,3298,110825,2646,87821,4765,17892
122,1275,42531,981,32512,10601,56109
123,1485,49574,804,27108,1166,2405
124,1454,48336,536,17847,569,1434
125,380,12239,10418,345730,19207,131805
126,24348,814142,3607,118346,2445,5390
127,15188,504420,21402,713863,1521,3259
128,10879,359583,1146,38953,584,1408
129,5460,180734,4884,161584,5670,23042
130,2410,81796,827,27949,701,1618
131,1590,53143,855,28271,10923,57964
132,3867,130014,3578,118917,7608,39155
133,4329,143806,6436,213482,6296,28747
134,14550,484217,21149,702804,1945,4045
135,1345,44065,209,6391,1,0
136,1467,49396,6832,230327,4236,16038
137,10276,335902,10764,358934,586,1432
138,11809,394501,1509,50438,1310,2847
139,2422,81219,485,15679,511,1252
140,15885,528558,5820,193483,36293,280315
141,47786,1582406,13660,453608,16121,117571
142,1616,54241,15,470,161,322
143,1745,59261,2008,66660,1876,3904
144,10512,342023,1046,35673,29266,219912
145,7734,258126,2404,79645,2366,5112
146,1656,55461,881,29522,876,1923
147,8456,282148,3485,116623,3671,11840
148,5380,179229,3876,129285,2415,5292
149,1485,49040,609,20086,1180,2513
150,23264,774573,1550,52471,1904,3918
151,1109,37511,10808,359149,10863,63405
152,1273,42111,14785,487807,1880,4058
153,695,23024,681,22406,693,1624
154,1994,66115,18785,623623,10,15
155,8976,301692,9387,317920,9082,49540
156,2115,69941,454,15964,281,584
157,10660,356512,1199,39935,10930,60039
158,137,4526,280,9264,260,515
159,1354,45638,224,7493,152,304
160,6692,223728,15000,502810,4233,15281
161,14764,502169,12130,407427,6676,30118
162,12374,409821,6693,222286,1452,3080
163,473,16247,534,18646,10238,55794
164,955,32022,4220,140653,1233,2853
165,28851,963761,1185,38457,10282,53963
166,2499,84468,372,12289,35,66
167,21755,723339,8165,271696,15974,104875
168,2234,74174,141,4618,424,1003
169,570,18466,1037,34534,11013,67774
170,1646,54375,86,2598,113,257
171,2583,86081,2871,96863,4875,18132
172,18639,626062,1579,53294,7281,34263
173,4143,137143,1769,59787,1829,3918
174,1347,44906,1,0,200,395
175,11074,369688,659,21829,10635,57699
176,2452,82571,259,8481,289,606
177,175,5674,85,2847,201,412
178,4409,147915,4338,141767,7002,32474
179,18091,609112,242,8426,459,1095
180,9519,317936,6591,219808,1291,2924
181,208,6825,1563,53230,4158,14957
182,1811,60797,4397,145311,1994,4284
183,10760,359599,1237,41528,10947,58405
184,7512,252465,5004,167004,16217,96110
185,4443,147384,1786,58294,4291,16378
186,1924,63856,750,24644,38960,315587
187,3619,121096,10140,339828,22409,165414
188,3373,110923,3258,108635,32524,274412
189,4533,150918,14068,463972,27523,186326
190,2358,79553,269,8820,389,901
191,1275,41460,595,19913,530,1392
192,7160,238420,7718,256356,9815,59865
193,565,18460,390,12815,378,800
194,1713,57907,999,33096,747,1708
195,1488,48699,729,23941,9852,60743
196,2263,75762,960,31069,943,2008
197,28950,963207,563,19401,10320,64804
198,930,31034,797,26839,1010,2183
199,2025,67174,7137,234484,14771,88725
200,4365,144884,1672,53740,1587,3359
201,3413,114402,2748,90031,8213,45055
202,2172,72945,1089,36473,849,1913
203,4305,144381,6423,215362,4239,14301
204,12373,413037,4287,143674,1680,3617
205,6600,220072,13999,462694,1825,3830
206,12051,400437,4546,150095,4230,15165
207,1353,44480,380,13197,266,565
208,1706,57515,294,9996,299,655
209,35638,1182798,374,12003,240,468
210,12914,427884,2542,82551,3116,8936
211,10377,347269,10210,339108,10251,54727
212,1560,52014,189,6194,485,1128
213,1626,54099,37901,1267746,648,1493
214,713,22934,1534,51150,4066,13980
215,2056,68568,103,3572,49,88
216,1216,41660,426,14191,249,492
217,1886,62610,423,13959,120,249
218,188,6467,22626,751823,3273,9672
219,944,31008,10089,336444,965,2057
220,10984,366998,677,22921,1105,2342
221,15157,508116,6768,226069,4161,15485
222,2348,79151,1211,39907,1024,2211
223,2181,72264,7,220,471,1082
224,1038,35214,12897,427654,1449,3163
225,25972,873285,14583,490333,4589,17409
226,1551,51254,21153,702472,9160,47612
227,3606,119873,4869,162583,2362,5314
228,492,16710,335,11628,103,241
229,1577,51393,64,2212,348,778
230,1020,33555,9275,309704,1726,3660
231,1916,63197,2397,80261,5584,23234
232,1875,61749,1476,48503,26344,245735
233,4573,152661,1994,66075,6614,28902
234,2127,71380,322,10968,208,436
235,603,19957,11039,367557,624,1440
236,793,26227,386,13266,268,563
237,9653,324032,1719,56538,4033,14328
238,2329,77418,243,7931,324,718
239,10667,352941,663,22189,738,1664
240,3846,128815,7225,242304,15680,87112
241,6850,228437,6894,227927,9588,51372
242,5010,166550,2650,88904,2036,4403
243,304,10091,28,842,108,221
244,1564,52439,377,12384,277,607
245,20351,682111,16396,545335,5002,18112
246,1785,59416,954,31719,581,1363
247,2417,79644,570,18904,683,1536
248,3491,117427,3843,129059,27379,217665
249,10546,349112,730,24802,657,1574
250,957,31433,394,12659,88,199
251,25295,849418,2572,85282,2434,5291
252,861,29154,10631,350384,530,1325
253,12620,418571,1344,44733,1460,3253
254,642,21843,125,4177,34,73
255,2099,69170,42070,1407585,9907,51957
256,9680,327511,4144,139100,9527,54549
257,10305,346930,764,24723,538,1308
258,6536,216629,12630,420105,1697,3586
259,18621,607571,140,4950,400,858
260,2244,75825,10929,361467,709,1571
261,1906,63766,1195,39289,550,1336
262,1634,53768,1283,42955,17623,136539
263,6850,224887,1491,50097,7112,34679
264,1212,41089,559,18272,1173,2499
265,866,28775,72,2368,32,56
266,5699,190280,2203,72326,5153,19863
267,9214,305177,1928,64371,1938,4063
268,9634,320230,6929,229614,4316,14782
269,52,1689,19577,647559,180,360
